==14129== Memcheck, a memory error detector
==14129== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==14129== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==14129== Command: ./RunCollatz
64205 65855 299
27353 27351 184
27620 21763 308
180868 182506 316
81543 80706 320
11300 11902 237
146550 138965 375
11306 13015 263
106926 109586 323
186965 185469 347
128293 128600 300
181589 176563 365
46247 46247 164
8204 8696 234
172716 181115 365
168225 172832 334
154099 157923 383
54526 60905 322
192211 187927 360
102769 99472 341
1941 956 182
143270 151686 370
54569 57128 322
203712 204532 311
95902 101311 341
175656 180484 365
54671 53034 322
28568 32390 285
187291 184075 347
105038 101859 310
186443 187410 347
55711 62935 335
136996 142586 344
197770 197976 285
208152 200864 373
31889 34158 267
96182 92013 328
207231 203990 373
139596 139058 313
14805 11408 276
216671 209708 386
120242 122961 336
203309 203932 267
146672 139772 375
202232 200171 342
203612 203502 223
11184 8393 268
76051 76122 201
148535 146095 357
97706 94042 328
65875 64385 268
23544 17586 282
223677 225023 368
124252 127235 331
153979 153751 308
189060 192535 360
117202 119770 336
16427 11841 276
130309 126142 344
118836 109446 349
109299 112217 323
228147 229167 355
237540 242383 368
152124 149400 370
251365 248944 350
79220 74982 351
210077 210521 342
30221 31328 254
104886 99393 341
208165 210976 342
223467 223386 293
28112 23334 308
136545 134333 344
21177 29418 308
73631 73312 294
69144 76487 325
33422 37241 324
161058 161024 215
109596 108158 292
147127 145237 357
153661 151311 308
262320 261660 301
233899 231123 368
132680 125326 344
89219 87808 333
147592 148771 326
41408 41650 257
165873 167868 352
102818 98318 341
219850 222793 355
148157 146738 295
16690 18375 279
152698 146918 370
91628 95358 328
53200 50694 340
12380 15471 276
160788 157070 370
102802 103018 235
8146 11442 268
83403 86134 320
155895 154525 308
287032 286999 177
56785 59692 304
28247 26191 308
101002 105265 341
252480 253081 288
215978 217574 386
49317 46735 314
236609 237349 319
295202 292620 358
205676 207590 373
279089 280966 345
136061 136358 269
235344 242444 368
257926 263804 407
51723 45998 314
75529 76296 307
217003 218950 324
123423 123233 331
78604 78461 307
20697 22079 269
149915 152881 370
138395 141042 344
142242 151477 375
108332 110202 310
318319 313661 353
94280 93374 284
94657 100417 341
264853 266761 332
89113 87243 333
195297 192452 347
189393 196065 360
323440 317380 371
159077 158241 321
258446 254143 363
33061 25455 308
52145 44704 314
75330 76764 307
235782 238575 350
61614 62634 317
244028 250268 350
49103 49470 265
142675 141599 375
300056 298618 371
14895 21276 279
42019 43926 288
86449 84920 302
254472 249552 332
298441 301176 371
123333 125524 331
100046 102408 341
139480 134109 344
56808 56061 322
35369 33307 311
26513 27375 308
188169 194418 360
293263 292701 358
174819 177048 334
191504 192830 347
59918 57610 304
127428 130532 344
269727 274447 363
129162 124723 331
12824 6041 268
283089 279940 358
97758 99919 328
278087 279628 345
139181 140378 344
82166 81083 320
125878 130666 344
133880 136415 344
297155 299201 371
132857 132898 269
351362 357749 379
265732 261729 407
94912 103813 341
200570 193929 360
263961 261801 407
149955 141028 375
90254 93343 333
330682 332168 353
90939 96863 333
261260 258642 345
104449 103210 297
107628 108333 279
139862 141232 344
48270 47979 252
340316 331829 366
279821 279775 252
341093 343804 353
78998 82824 320
279767 273467 389
332827 336232 366
236090 237297 337
97737 91706 328
55708 57901 322
13508 14250 258
372381 367187 392
134758 133987 269
124457 131034 344
241510 243149 319
13894 7195 276
23119 24024 282
105994 110486 354
361729 364882 361
242662 242844 288
110755 111586 323
148728 149891 326
50792 43460 314
46807 53225 340
358626 356832 379
386982 387446 255
71018 69188 312
25289 23997 264
352700 353538 335
90525 95790 333
346285 349643 348
72047 73226 294
225375 231968 443
233799 234296 381
377257 371917 423
272854 266704 363
375753 373874 361
259438 260314 345
144446 147769 357
26969 30049 272
376512 371554 361
90589 94189 333
84383 77942 338
164697 168846 352
257495 259442 301
76537 75129 307
306270 307303 309
153515 153688 277
47310 46872 283
77647 84590 338
153129 154686 352
37267 31500 324
145893 139324 375
32046 26569 308
393337 389968 361
234594 237147 337
148252 150063 370
55776 58349 322
315359 318906 353
386947 388872 330
203521 202844 311
373214 369610 392
156424 152506 383
101324 100892 297
23518 17220 279
66861 66358 268
276459 270909 358
399821 400153 374
24184 28554 308
356794 363034 379
314927 311244 384
112943 118939 349
116035 121262 336
259237 256806 345
181397 182217 316
11358 10988 237
431368 437609 387
295943 293977 358
415598 423488 387
250901 257212 363
330398 326992 353
286868 293517 389
232478 233185 306
391176 387025 436
427809 430757 325
150863 149500 370
199737 195205 360
249382 244634 350
373526 370439 348
392430 390078 361
437492 440521 400
181134 179866 365
362776 357577 379
299985 293655 371
4994 3550 238
455270 452079 369
408975 409604 312
268572 263981 345
399685 397519 374
451094 459719 369
411701 405723 449
66181 62874 330
182584 182514 197
339093 333460 366
439048 437566 400
10592 6499 260
393345 390452 361
383370 384434 299
358613 354425 379
423072 422312 325
323898 325207 384
90798 89408 315
137529 138029 251
152930 157909 383
460623 452169 369
120420 116273 336
351437 351622 273
101457 95115 341
240818 245046 337
59393 61850 335
212467 212106 280
256283 255089 288
296376 295064 358
169874 167609 334
229712 229328 293
335237 334478 322
433020 430086 387
338939 336308 366
75969 71527 325
306294 309408 371
407612 402627 361
398018 393302 405
251904 246163 350
246300 244522 319
255851 251040 363
58056 58086 198
263011 261661 301
351365 353171 348
245540 246100 319
208901 209627 311
365619 357162 379
352698 350665 379
387085 385696 330
274114 278086 389
299966 296293 371
64613 64537 224
121481 122099 336
420456 416345 387
352846 354000 335
433268 431207 387
198868 197566 329
54763 60540 322
345537 340814 353
383820 382410 330
268233 271684 363
78293 81416 338
190592 191088 285
95592 100931 341
306141 308460 371
440756 440451 294
54432 52312 340
81934 82877 320
316632 314449 353
16628 15740 266
176975 180026 347
15875 20695 279
231284 232088 324
487615 487266 227
165986 169153 352
280692 276252 389
175578 172189 347
244017 245529 275
71061 72938 325
460544 455917 356
144836 151754 370
113249 119735 349
43500 46557 314
433974 435815 356
377675 375458 423
520802 513784 439
374073 378504 423
194859 202984 360
125275 118764 336
183007 181513 334
210125 201890 373
333416 333782 322
209174 210252 342
432637 439741 400
323854 324930 384
151119 156432 383
197485 200645 342
501190 507333 426
194717 192628 347
60749 54326 322
51868 47770 309
296598 287237 389
447971 451525 387
46962 51469 314
303997 300792 340
108761 105997 354
258497 253533 363
309532 309043 309
492390 491859 320
273180 269967 363
493253 497387 395
245339 242825 337
34996 29265 311
221724 218323 355
385244 378855 379
112086 117879 349
347852 344923 441
455768 460348 356
9841 13582 276
532049 539148 377
483704 481457 382
260179 266703 407
343494 344567 304
101171 106353 354
112597 108552 323
150831 141650 375
290342 292726 340
328268 331133 353
28651 28000 259
562554 561357 328
293333 289081 358
162109 154547 383
340128 342342 335
302516 302093 247
107935 113318 323
253785 256566 363
474530 477185 351
392062 394806 405
318824 315031 353
208807 211321 355
134539 132991 313
172377 174180 347
529059 528167 377
292784 294717 358
9128 12357 268
399030 401989 387
365982 362898 361
153186 155356 352
203164 210115 373
18104 13103 279
155160 154926 264
487785 490437 382
108163 101994 354
129083 129809 300
344925 343444 304
132932 136096 344
81186 83020 320
192186 196392 360
237899 241046 368
480026 478032 351
122923 116860 336
231281 232561 337
220207 221737 355
406227 403126 361
567262 565173 359
460947 463598 444
8316 8571 234
183305 180328 365
54022 49723 340
162398 161246 321
287140 286119 314
487838 486031 382
189969 190965 329
528142 534640 377
379547 379825 361
302210 307774 340
462115 457429 444
306089 305239 265
186376 192912 360
344885 345663 304
355929 360097 379
305210 313446 384
434974 438845 400
204274 204588 311
165153 168036 352
285437 284588 376
588208 594141 403
152953 154367 352
605460 606203 328
599729 602204 403
150336 145897 370
76757 73397 325
9123 9764 260
484446 483538 307
21549 26795 308
96547 94505 328
380344 376574 423
22400 25422 282
357378 353679 379
197949 196068 298
290666 285286 389
234119 227958 443
143447 142009 375
578673 577511 346
387589 382405 348
196195 196616 267
90852 92068 333
579579 582094 328
122364 122184 212
126182 129499 331
617174 620955 372
444720 446455 338
227281 229991 355
531132 528060 377
66650 67706 312
588340 583611 434
504190 499268 426
154161 146923 370
40103 39840 306
611982 616024 447
405723 409284 361
207919 202717 373
412024 405473 449
371014 378466 423
412989 411590 343
208345 207784 280
102783 103412 235
135700 135042 344
484198 489152 382
602952 599421 403
572665 575615 359
45152 40519 314
663786 661348 323
611710 609806 354
614300 622810 447
268096 269014 270
73194 75287 325
516752 513650 395
577847 582045 359
69397 70509 312
287434 287444 190
642286 644257 354
525724 524454 408
435830 428827 387
414938 416638 387
408253 407796 268
24013 22161 282
618458 623756 372
118405 123103 336
136957 145746 375
306147 298705 371
384346 379319 379
297931 297003 327
592820 586531 403
368384 372022 392
378862 382667 379
406647 410301 449
112880 110339 323
298111 299027 371
283038 278368 358
613666 614483 310
266262 266590 301
57977 57207 273
415897 410983 374
282139 288129 376
574345 568448 377
516414 509461 470
469697 468259 382
286645 277839 376
213851 211697 355
336016 331997 353
637225 640131 354
104719 105311 341
137213 134040 344
590697 596248 403
179260 174077 347
152454 156621 383
446140 444244 338
570983 566553 377
473285 470902 338
209209 205889 373
341150 336469 366
619853 621062 372
327953 325968 322
114921 119776 349
378094 370757 423
526681 531924 377
447536 447434 219
676033 672826 385
447587 441724 356
527488 534750 377
226249 225936 293
291682 290720 327
401716 402611 268
168699 165396 352
670223 676305 385
528581 525383 408
494841 496744 320
590703 587002 359
366213 364694 361
357672 349374 379
452596 445483 387
505213 500153 426
439447 434253 400
516505 519466 439
342646 343951 335
200528 198831 342
346005 344129 441
419769 411342 387
607453 602620 372
193548 192773 329
42266 47284 314
265352 274978 363
514213 515767 395
564105 566568 421
484850 494765 426
510591 514457 470
103364 105629 341
682405 688358 398
709898 704325 380
308382 310206 340
66497 65550 268
91892 90398 333
209747 212616 355
249383 248770 350
348898 347304 335
217367 222431 355
719723 720477 349
321452 327888 384
210715 216418 386
506324 506065 364
628902 619155 385
593450 597222 372
402227 401114 387
233585 226692 443
374381 371071 348
429315 430255 312
477464 477976 307
314732 314614 278
429243 427161 374
278299 280791 345
619401 626823 385
58718 58201 273
394103 396998 405
392069 390336 361
677978 673336 385
393624 397709 405
35555 30218 311
332282 331643 353
764118 761894 375
184859 189197 347
198092 202611 342
120565 120639 243
10017 9528 242
386502 385850 330
504000 502969 320
420815 413947 387
48112 45013 314
616116 617147 372
765882 765134 331
663924 667544 398
475620 469495 382
311222 310550 371
152332 154321 352
72581 68735 325
58850 63780 335
67980 73929 325
411384 414242 374
408077 414244 449
273941 266051 363
699872 698477 367
186819 185907 347
425035 425073 312
383342 385223 330
420843 417410 343
644111 643772 261
433474 426346 387
250556 258136 363
177164 181023 365
759526 761537 380
204069 200235 342
34650 32608 311
579012 587270 434
635722 641917 372
536902 536423 302
784204 780844 362
626830 623349 385
235448 231387 381
503168 507674 382
447710 448257 325
617856 621169 372
745384 744512 300
63464 72627 325
16818 15916 266
546833 547753 377
20640 25074 282
30788 28059 272
463264 463238 214
419949 420758 343
262071 265309 407
98075 97446 297
306230 310397 371
32209 32569 267
503849 495485 426
99091 98025 328
380079 382546 379
131580 133476 331
433220 429664 387
44900 48593 314
382489 386342 348
530568 530447 240
253801 250794 332
387841 388293 330
797156 795668 468
14964 15036 209
731073 736672 424
561794 562579 328
313701 313149 309
778447 782326 362
339799 341087 366
431671 428484 325
366067 365243 335
767777 776227 468
483415 489915 382
681853 677926 380
277124 271566 358
789319 789006 406
755277 754357 318
19814 22410 274
781277 778674 362
315238 321957 371
149227 156458 383
512820 514976 364
272685 279128 389
712218 713005 411
530761 528529 377
647547 651050 385
643409 649647 385
99165 98880 328
558214 564897 359
393351 398936 405
651846 653555 354
263394 266386 332
263894 262836 407
79653 78668 338
755181 761168 380
38208 37314 306
756474 758334 349
477036 471678 382
459536 466275 444
664978 665360 261
529683 528420 377
731869 736498 424
306966 299823 371
252088 252013 226
494192 496096 351
322696 322285 309
452424 452386 232
686304 691111 398
23597 30318 308
362488 365588 361
819257 816273 450
613436 615488 447
543299 538256 364
244127 245356 275
528143 523445 408
437258 432202 387
509371 505734 382
756842 756285 362
864087 857988 370
117472 123890 336
273096 268379 363
795659 788809 437
87255 85673 333
413483 414458 374
796295 792480 468
440380 434065 400
604192 596774 403
263960 265991 332
270320 276049 363
22559 30272 308
470002 474718 382
829235 824711 419
188575 189548 316
525490 529555 408
33721 32047 267
71407 66122 325
683046 683164 230
605667 603812 372
522025 519278 364
635569 639730 354
93089 85060 333
147342 141391 375
878115 884212 370
30758 30182 254
820903 823456 375
436892 437679 387
639786 645208 416
82257 81428 289
==14129== 
==14129== HEAP SUMMARY:
==14129==     in use at exit: 0 bytes in 0 blocks
==14129==   total heap usage: 0 allocs, 0 frees, 0 bytes allocated
==14129== 
==14129== All heap blocks were freed -- no leaks are possible
==14129== 
==14129== For counts of detected and suppressed errors, rerun with: -v
==14129== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 2 from 2)
